,SP500,Div,Earning,CPI,Rate10y,TB3MS,gold,bondTR,eqTR,gldTR,tbTR,cpiTR
1987-05-01,289.1,8.46,14.6467,113.1,0.0861,0.056600000000000004,425.0,0.9671265490975747,1.0017472786744277,1.0493827160493827,1.0047,1.0035492457852706
1987-06-01,301.4,8.52,14.42,113.5,0.084,0.0567,445.0,1.0213822369142729,1.0449015054156354,1.0470588235294118,1.0047166666666667,1.0035366931918657
1987-07-01,310.1,8.56667,14.9,113.8,0.08449999999999999,0.056900000000000006,445.0,1.0036245997527262,1.0311674209470427,1.0,1.004725,1.0026431718061675
1987-08-01,329.4,8.61333,15.38,114.4,0.0876,0.0604,445.0,0.9863907606696709,1.0644170329796467,1.0,1.0047416666666666,1.0052724077328647
1987-09-01,318.7,8.66,15.86,115.0,0.0942,0.064,445.0,0.964550452004152,0.9697811045136502,1.0,1.0050333333333332,1.0052447552447552
1987-10-01,280.2,8.71,16.4067,115.3,0.09519999999999999,0.0613,465.0,1.001400087335864,0.8817871483537727,1.0449438202247192,1.0053333333333334,1.0026086956521738
1987-11-01,245.0,8.76,16.9533,115.4,0.0886,0.056900000000000006,465.0,1.0517122160466406,0.8773550379466563,1.0,1.0051083333333333,1.0008673026886383
1987-12-01,241.0,8.81,17.5,115.4,0.08990000000000001,0.057699999999999994,465.0,0.9988079091128531,0.9867198041042143,1.0,1.0047416666666666,1.0
1988-01-01,250.5,8.85667,17.8633,115.7,0.0867,0.0581,485.0,1.0288910561544988,1.042365417808919,1.043010752688172,1.0048083333333333,1.0025996533795494
1988-02-01,258.1,8.90333,18.2267,116.0,0.0821,0.056600000000000004,475.0,1.0386018497226297,1.0332139597403411,0.979381443298969,1.0048416666666666,1.0025929127052722
1988-03-01,265.7,8.95,18.59,116.5,0.0837,0.057,435.0,0.996003102263147,1.0322530017399862,0.9157894736842105,1.0047166666666667,1.0043103448275863
1988-04-01,262.6,9.04333,19.6167,117.1,0.0872,0.0591,450.0,0.9836195033512467,0.9912025112130579,1.0344827586206897,1.00475,1.0051502145922746
1988-05-01,256.1,9.13667,20.6433,117.5,0.0909,0.0626,440.0,0.9829633631845047,0.9782205398507441,0.9777777777777777,1.004925,1.0034158838599487
1988-06-01,270.7,9.23,21.67,118.0,0.0892,0.0646,440.0,1.0188225342441835,1.059850379709356,1.0,1.0052166666666666,1.004255319148936
1988-07-01,269.1,9.30667,22.0233,118.5,0.0906,0.0673,435.0,0.9982257457349892,0.9969714336557469,0.9886363636363636,1.0053833333333333,1.0042372881355932
1988-08-01,263.7,9.38333,22.3767,119.0,0.0926,0.0706,425.0,0.99450756124958,0.982898389725749,0.9770114942528736,1.0056083333333334,1.0042194092827004
1988-09-01,268.0,9.46,22.73,119.8,0.0898,0.0724,425.0,1.0261946831958766,1.0192479510864336,1.0,1.0058833333333332,1.0067226890756302
1988-10-01,277.4,9.55,23.0733,120.2,0.08800000000000001,0.0735,400.0,1.019453682867119,1.0379435285719922,0.9411764705882353,1.0060333333333333,1.003338898163606
